subset,paper_id,canonical,surface_forms
comm,2944183,MacClade,MacClade
comm,2944183,PAUP*,PAUP*
comm,3192703,BLAST,BLAST
comm,3192703,FigTree,FigTree
comm,3192703,GanBank,GanBank
comm,3192703,MUSCLE,Muscle
comm,3192703,Mesquite,Mesquite
comm,3192703,Nexus,Nexus
comm,3192703,PhyLoTA,PhyLoTA
comm,3192703,Pthreads,Pthreads
comm,3192703,RAxML,RAxML
comm,3192703,TNT,TNT
comm,3192703,atpA,atpA
comm,3256190,BLAST,BLAST
comm,3256190,BioEdit,Bioedit
comm,3256190,CAOS,CAOS
comm,3256190,CAOS workbench,CAOS Workbench; CAOS-workbench
comm,3256190,CAOS-Analyzer,CAOS-Analyzer
comm,3256190,CAOS-Barcoder,CAOS-Barcoder
comm,3256190,Character Attribute Organization System (CAOS),Character Attribute Organization System (CAOS
comm,3256190,Clone Manager,Clone Manager
comm,3256190,ClustalX,CLUSTAL X
comm,3256190,Decision Theory,Decision Theory
comm,3256190,EINVERTED,EINVERTED
comm,3256190,EMBOSS,EMBOSS
comm,3256190,GATC,GATC
comm,3256190,MEGA,MEGA
comm,3256190,MatK,MatK
comm,3256190,MrBayes,MrBayes
comm,3256190,Nexus,NEXUS
comm,3256190,PhyML,PHYML
comm,3256190,TreeJuxtaposer,TreeJuxtaposer
comm,3256190,jModelTest,jModel Test
comm,3256190,matK,matK
comm,3256190,megablast,Megablast
comm,3256190,rbcL,rbcL
comm,3360049,ArcMap,ArcMap
comm,3360049,Arlequin,Arlequin
comm,3360049,ClustalW,ClustalW
comm,3360049,DnaSP,DNAsp
comm,3360049,Isolation by Distance,Isolation by Distance
comm,3360049,MEGA,MEGA
comm,3360049,MIGRATE,MIGRATE
comm,3360049,MaxEnt,Maxent
comm,3360049,Network,Network
comm,3360049,WorldClim2,Worldclim
comm,3369884,(AMOVA,(AMOVA
comm,3369884,Arlequin,Arlequin
comm,3369884,BEAST,BEAST
comm,3369884,BLAST,BLAST
comm,3369884,BioEdit,BioEdit
comm,3369884,CLC Genomics Workbench,CLC Main Workbench
comm,3369884,ClustalW,ClustalW
comm,3369884,DIVA-GIS,DIVA-GIS
comm,3369884,DnaSP,DnaSP
comm,3369884,Ensembl,Ensembl
comm,3369884,Geneious,Geneious
comm,3369884,Genome Browser,Genome Browser
comm,3369884,IMgc,IMgc
comm,3369884,LogCombiner,LogCombiner
comm,3369884,MEGA,MEGA
comm,3369884,PHASE,PHASE
comm,3369884,Plots,Plots
comm,3369884,Primer3,Primer3
comm,3369884,RAxML,RAxML; RaxML
comm,3369884,RepeatMasker,RepeatMasker
comm,3369884,STRUCTURAMA,STRUCTURAMA
comm,3369884,Skyline Plot,Skyline Plots
comm,3369884,Structure,Structure
comm,3369884,Tracer,Tracer
comm,3369884,UCSC genome browser,UCSC Genome Browser
comm,3369884,of,of
comm,3460966,BEAST,BEAST
comm,3460966,BayesTraits,BayesTraits
comm,3460966,G-INS-i,G-INS-i
comm,3460966,MAFFT,MAFFT
comm,3460966,MAFFT G-INS-i,MAFFT G-INS-i
comm,3460966,MUSCLE,MUSCLE
