canonical,n_papers,n_surface_forms,surface_forms
MrBayes,206,3,MRBAYES; MrBayes; MrBayes3
RAxML,191,4,RAXML; RAxML; RAxML8; RaxML
MAFFT,179,4,MAFFT; MAFFT7; Mafft; mafft
MEGA,177,4,MEGA; MEGA5; MEGA6; MEGA7
PartitionFinder,124,6,Partition Finder; PartitionFinder; PartitionFinder2; PartitionFinder54; PartitionFinder59; Partitionfinder
BLAST,105,10,BLAST; BLAST Tools; BLAST+; BLASTP; BLASTp; Basic Local Alignment Search Tool; BlastP; Blastp; blast; blastp
Geneious,102,9,GENEIOUS; Geneious; Geneious Prime; Geneious R10; Geneious R11; Geneious R7; Geneious R8; Geneious R9; Geneious®
Tracer,85,1,Tracer
FigTree,79,2,FigTree; Figtree
jModelTest,75,9,JModelTest; JModeltest; JmodelTest; Jmodeltest; jModel Test; jModelTest; jModelTest2; jModeltest; jmodeltest
BEAST,72,6,*BEAST; *BEAST2; BEAST; BEAST2; BEAST34; Beast
MUSCLE,71,3,MUSCLE; MUSCLE73; Muscle
R,68,1,R
tRNAscan-SE,64,8,tRNA scan-SE; tRNAScan-SE; tRNAscan-SE; tRNAscan-SE1; tRNAscan-SE2; tRNAscan-SE21; tRNAscan-SE38; tRNAscan‐SE Search Server
BioEdit,61,3,BIOEDIT; BioEdit; Bioedit
PAUP*,57,4,PAUP; PAUP*; PAUP*4; PAUP4
BLASTN,53,4,BLASTN; BLASTn; BlastN; blastn
DnaSP,50,3,DNASP; DNAsp; DnaSP
TreeAnnotator,46,4,Tree Annotator; TreeAnnotator; TreeAnotator; Treeannotator
MITOS,45,3,MITOS; MITOS18; MITOS2
Gblocks,44,4,GBlocks; Gblocks; Gblocks0; gblocks
ClustalW,43,5,CLUSTAL W; CLUSTALW; CLUSTAL_W; Clustal W; ClustalW
IQ-TREE,37,2,IQ-TREE; IQ-TREE1
Mesquite,36,2,Mesquite; Mesquite89
MITObim,31,1,MITObim
SPAdes,31,4,SPADES; SPAdes; SPAdes Genome Assembler; SPAdes-3
MrModeltest,28,3,MrModelTest; MrModeltest; MrModeltest2
