subset,pmcid,pmid,doi,pubdate,section,paragraph_number,software_mention,version,curation_label,mapped_to_software,text
comm,6948215,31562744.0,10.1093/aob/mcz145,2020,Phylogenetic analyses,8,SequenceMatrix,1.7.8,software,SequenceMatrix,The three markers were concatenated into a single alignment using SequenceMatrix 1.7.8 (Vaidya )
comm,4551086,25538110.0,10.1093/aob/mcu237,2015,Sequence alignment and phylogenetic analysis.,16,SequenceMatrix,1.7.8,software,SequenceMatrix,"Arachis intron sequences were aligned using Muscle (Edgar, 2004), and concatenated in SequenceMatrix 1.7.8 (Vaidya )"
comm,6963576,31766670.0,10.3390/antibiotics8040231,2019,4.2. Phylogenetic Analysis on the FYFP 3052 within Diaporthe Genus,20,SequenceMatrix,,software,SequenceMatrix,The five gene regions alignment was concatenated with SequenceMatrix [41]
comm,4501515,25979965.0,10.1093/aobpla/plv051,2015,Molecular methods,16,Sequence Matrix,1.7.8,not_curated,SequenceMatrix,Chloroplast DNA regions were concatenated using Sequence Matrix 1.7.8 (Vaidya )
comm,6580989,31236313.0,10.1002/aps3.11254,2019,Detection and filtering of potential paralogs,13,SequenceMatrix,,software,SequenceMatrix,"We concatenated these 264 genes into a 319,788‐bp matrix using SequenceMatrix v"
comm,5304391,28193262.0,10.1186/s12915-017-0353-y,2017,Sequence searches and alignments,38,SequenceMatrix,,software,SequenceMatrix,Two multi-locus datasets were created by concatenating the relevant individual alignments using SequenceMatrix v1.8 [64]
comm,3538695,23190419.0,10.1186/1472-6785-12-25,2012,Sequence data analysis,11,SequenceMatrix,1.5 alpha9,software,SequenceMatrix,"The total alignments for rbcL, matK and ITS2 alignments were concatenated into a profiled alignment with SequenceMatrix 1.5 alpha9 [58]."
comm,7883577,33583398.0,10.1186/s12862-020-01738-w,2021,Phylogenetic tree,9,SequenceMatrix,,software,SequenceMatrix,"We aligned the CO1 and EF-1 sequences using MUSCLE [20] with default settings in the software MEGA7 [21], and concatenated the aligned sequences using SequenceMatrix [22]"
comm,8132446,34011264.0,10.1186/s12862-021-01813-w,2021,Genetic data,58,SequenceMatrix,,software,SequenceMatrix,"From the new CYTB sequences, we subsampled from the unique haplotypes and extracted 138 COI and 100 IRBP sequences, which were aligned separately and concatenated in SequenceMatrix [94]"
comm,5418863,28472922.0,10.1186/s12862-017-0954-7,2017,Phylogeny reconstruction,6,Sequencematrix,1.7.8,not_curated,SequenceMatrix,Sequences were aligned in MAFFT online version 7 [47] and concatenated using Sequencematrix 1.7.8
comm,5580441,28863778.0,10.1186/s12862-017-1047-3,2017,Phylogenetic reconstruction,12,Sequence Matrix,,not_curated,SequenceMatrix,"We concatenated sequences of all nuclear loci using Sequence Matrix v1.7.8 [42] and employed RAxML GUI v1.5 [43] to reconstruct a maximum likelihood (ML) tree under the GTR + gamma model, performing 100 runs using a bootstrap algorithm with 1000 replicates"
comm,4264551,25433367.0,10.1186/s12862-014-0245-5,2014,Phylogenetic reconstruction,26,SequenceMatrix,,software,SequenceMatrix,We verified each alignment visually and concatenated the mitochondrial and nuclear datasets in two separate super-matrices with SequenceMatrix [37]
comm,2944183,20831809.0,10.1186/1471-2148-10-275,2010,2) Reconstructing the evolution of female genitalia,13,SequenceMatrix,,software,SequenceMatrix,"A new analysis was needed to place the recently described Perochaeta dikowi, which is included in our study and whose DNA sequence data was added to Su et al.'s data using the concatenation software SequenceMatrix [61]"
comm,5480257,28641575.0,10.1186/s12862-017-0984-1,2017,Phylogeographic sampling,7,Sequence Matrix,,not_curated,SequenceMatrix,"Sequences were concatenated into a fourth matrix with the program Sequence Matrix [37], only including samples with the three DNA regions sequenced (66 samples)"
comm,6670200,31366328.0,10.1186/s12862-019-1477-1,2019,"DNA extraction, PCR and sequencing analysis",39,Sequence Matrix,,not_curated,SequenceMatrix,Sequence concatenations and file format conversions were implemented in Sequence Matrix [50]
comm,4029975,24886257.0,10.1186/1471-2148-14-94,2014,Phylogenetic analyses and estimation of divergence times,6,SequenceMatrix,,software,SequenceMatrix,Both single gene alignments were concatenated using SequenceMatrix v
comm,5052871,27716026.0,10.1186/s12862-016-0771-4,2016,Phylogenetic analyses,48,SequenceMatrix,,software,SequenceMatrix,The concatenated alignment was constructed from the single gene alignments using SequenceMatrix [50]
comm,3553075,23311954.0,10.1186/1471-2148-13-8,2013,Phylogenetic analysis,48,SequenceMatrix,,software,SequenceMatrix,All genes were aligned in Geneious [49] and matrices were concatenated in SequenceMatrix [50]
comm,6729053,31492110.0,10.1186/s12862-019-1501-5,2019,Concatenated dataset,78,SequenceMatrix,,software,SequenceMatrix,I compiled the data with SequenceMatrix [109]
comm,5664827,29089027.0,10.1186/s12862-017-1065-1,2017,Phylogenetic analyses,9,Sequence Matrix,,not_curated,SequenceMatrix,Concatenated matrices of all genes were generated using Sequence Matrix [50] with missing data coded as question marks (?)
comm,5027107,27639849.0,10.1186/s12862-016-0764-3,2016,Methods,4,SequenceMatrix,,software,SequenceMatrix,Phylogenetic inference: Individual matrices including all sequences for each marker were aligned in Mesquite [17] and imported into SequenceMatrix [18] to export concatenated matrices (excluding taxa causing topological conflict between gene trees; see below) for further analyses
comm,6211570,30382913.0,10.1186/s12862-018-1280-4,2018,Genetic diversity,17,SequenceMatrix,,software,SequenceMatrix,"The sequences from respective samples were concatenated (CR + CYTB, 2230 bp) using SequenceMatrix v.1.8 [49]"
comm,4537560,26275399.0,10.1186/s12862-015-0445-7,2015,Phylogenetic reconstruction and molecular dating,34,SequenceMatrix,1.7.8,software,SequenceMatrix,"The five chloroplastic genes were concatenated into a single dataset using SequenceMatrix 1.7.8 [86], while the chloroplast and nuclear datasets were analyzed separately"
comm,7236349,32429841.0,10.1186/s12862-020-01623-6,2020,Datasets,48,SequenceMatrix,,software,SequenceMatrix,"Amino acid sequences were aligned using MUSCLE program [57], and the alignments of individual genes were concatenated using SequenceMatrix v.1.7.8 [58]"
comm,4455531,26040695.0,10.1186/s12864-015-1566-5,2015,Evolutionary relationships based on phylogenetic analysis,7,SequenceMatrix,,software,SequenceMatrix,Individual genes and aligned partitions were concatenated with SequenceMatrix [41]
comm,6032552,29973152.0,10.1186/s12864-018-4893-5,2018,"Alignment, sequence analysis, phylogenetic reconstruction and gene order analysis",44,SequenceMatrix,,software,SequenceMatrix,"ALTER [111] and GenBank 2 Sequin [112] were used for file conversion, and SequenceMatrix [113] to concatenate alignment files."
comm,5481933,28645249.0,10.1186/s12864-017-3868-2,2017,Phylogenetic analysis,7,SequenceMatrix,,software,SequenceMatrix,"For the concatenation analysis, aligned gene sequences with at least 450 bp of overlapping sequence were concatenated into a single file using SequenceMatrix [45]"
