license	location	pmcid	pmid	doi	pubdate	source	number	text	software	version	ID	curation_label	mapped_to_software
comm	comm/Ann_Bot/PMC6948215.nxml	6948215	31562744.0	10.1093/aob/mcz145	2020	Phylogenetic analyses	8	The three markers were concatenated into a single alignment using SequenceMatrix 1.7.8 (Vaidya )	SequenceMatrix	1.7.8	SM51323	software	SequenceMatrix
comm	comm/Ann_Bot/PMC4551086.nxml	4551086	25538110.0	10.1093/aob/mcu237	2015	Sequence alignment and phylogenetic analysis.	16	Arachis intron sequences were aligned using Muscle (Edgar, 2004), and concatenated in SequenceMatrix 1.7.8 (Vaidya )	SequenceMatrix	1.7.8	SM51323	software	SequenceMatrix
comm	comm/Antibiotics_(Basel)/PMC6963576.nxml	6963576	31766670.0	10.3390/antibiotics8040231	2019	4.2. Phylogenetic Analysis on the FYFP 3052 within Diaporthe Genus	20	The five gene regions alignment was concatenated with SequenceMatrix [41]	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/AoB_Plants/PMC4501515.nxml	4501515	25979965.0	10.1093/aobpla/plv051	2015	Molecular methods	16	Chloroplast DNA regions were concatenated using Sequence Matrix 1.7.8 (Vaidya )	Sequence Matrix	1.7.8	SM61024	not_curated	SequenceMatrix
comm	comm/Appl_Plant_Sci/PMC6580989.nxml	6580989	31236313.0	10.1002/aps3.11254	2019	Detection and filtering of potential paralogs	13	We concatenated these 264 genes into a 319,788‐bp matrix using SequenceMatrix v	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/BMC_Biol/PMC5304391.nxml	5304391	28193262.0	10.1186/s12915-017-0353-y	2017	Sequence searches and alignments	38	Two multi-locus datasets were created by concatenating the relevant individual alignments using SequenceMatrix v1.8 [64]	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/BMC_Ecol/PMC3538695.nxml	3538695	23190419.0	10.1186/1472-6785-12-25	2012	Sequence data analysis	11	The total alignments for rbcL, matK and ITS2 alignments were concatenated into a profiled alignment with SequenceMatrix 1.5 alpha9 [58].	SequenceMatrix	1.5 alpha9	SM51323	software	SequenceMatrix
comm	comm/BMC_Ecol_Evol/PMC7883577.nxml	7883577	33583398.0	10.1186/s12862-020-01738-w	2021	Phylogenetic tree	9	We aligned the CO1 and EF-1 sequences using MUSCLE [20] with default settings in the software MEGA7 [21], and concatenated the aligned sequences using SequenceMatrix [22]	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/BMC_Ecol_Evol/PMC8132446.nxml	8132446	34011264.0	10.1186/s12862-021-01813-w	2021	Genetic data	58	From the new CYTB sequences, we subsampled from the unique haplotypes and extracted 138 COI and 100 IRBP sequences, which were aligned separately and concatenated in SequenceMatrix [94]	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/BMC_Evol_Biol/PMC5418863.nxml	5418863	28472922.0	10.1186/s12862-017-0954-7	2017	Phylogeny reconstruction	6	Sequences were aligned in MAFFT online version 7 [47] and concatenated using Sequencematrix 1.7.8	Sequencematrix	1.7.8	SM146030	not_curated	SequenceMatrix
