license	location	pmcid	pmid	doi	pubdate	source	number	text	software	version	ID	curation_label
non_comm	non_comm/Acta_Pharm_Sin_B/PMC7606094.nxml	7606094	33163349.0	10.1016/j.apsb.2020.01.012	2020	Species authentication analyses	10	The combinations of DNA markers were concatenated in SequenceMatrix v1.7.8	SequenceMatrix		SM51323	software
non_comm	non_comm/Am_J_Bot/PMC8048450.nxml	8048450	33624301.0	10.1002/ajb2.1616	2021	Phylogenetic analysis of fossils	9	All partitions were concatenated using SequenceMatrix (v1.8; Vaidya et al., 2011)	SequenceMatrix		SM51323	software
non_comm	non_comm/Curr_Zool/PMC8489119.nxml	8489119	34616948.0	10.1093/cz/zoab009	2021	Molecular data	10	Multiple alignments of different genes were concatenated in a single matrix using SequenceMatrix version 1.7.8 (Vaidya et al	SequenceMatrix		SM51323	software
non_comm	non_comm/Zool_Res/PMC8455474.nxml	8455474	34313411.0	10.24272/j.issn.2095-8137.2020.365	2021	Molecular methods	17	Afterwards, we generated a concatenated matrix using SequenceMatrix v1.7.6 (Vaidya et al., 2011)	SequenceMatrix		SM51323	software
non_comm	non_comm/Fungal_Syst_Evol/PMC7252517.nxml	7252517	32478314.0	10.3114/fuse.2019.03.10	2019	DNA extraction, PCR, and phylogenetic reconstruction	7	After checking that there were no supported conflicts between the datasets, alignments of each locus were concatenated into a single alignment file using SequenceMatrix (Vaidya ) and phylogenetic trees of concatenated alignments were generated following the above-mentioned protocols	SequenceMatrix		SM51323	software
non_comm	non_comm/Genome_Biol_Evol/PMC6777426.nxml	6777426	31328784.0	10.1093/gbe/evz155	2019	Phylogenetic Analyses	6	2009) and concatenated with SequenceMatrix (Vaidya et al	SequenceMatrix		SM51323	software
non_comm	non_comm/Genome_Biol_Evol/PMC6777426.nxml	6777426	31328784.0	10.1093/gbe/evz155	2019	Phylogenetic Analyses	6	2009) and concatenated with SequenceMatrix (Vaidya et al	SequenceMatrix		SM51323	software
non_comm	non_comm/Genome_Biol_Evol/PMC7533067.nxml	7533067	33011798.0	10.1093/gbe/evaa149	2020	Multiple Sequence Alignment and Tree Inference from Chloroplast and Mitochondria Markers	13	We also generated concatenated alignments for both the chloroplast and mitochondrial genes using SequenceMatrix (Vaidya et al	SequenceMatrix		SM51323	software
non_comm	non_comm/Genome_Biol_Evol/PMC3971597.nxml	3971597	24586030.0	10.1093/gbe/evu046	2014	Phylogenetic Analysis	14	Filtered alignments were concatenated in SequenceMatrix version 1.7.8 (Vaidya et al	SequenceMatrix		SM51323	software
non_comm	non_comm/Genome_Biol_Evol/PMC4943178.nxml	4943178	27352945.0	10.1093/gbe/evw106	2016	Material and Methods	26	We used SequenceMatrix (Vaidya et al	SequenceMatrix		SM51323	software
non_comm	non_comm/Genome_Biol_Evol/PMC6482417.nxml	6482417	30895302.0	10.1093/gbe/evz063	2019	Synteny and Phylogenetic Analysis	12	A supermatrix was constructed using SequenceMatrix v1.7.8 (Vaidya et al	SequenceMatrix		SM51323	software
non_comm	non_comm/Genome_Biol_Evol/PMC4987110.nxml	4987110	27412609.0	10.1093/gbe/evw144	2016	Phylogenetic Analyses and Molecular Dating	13	2002) with some manual adjustments, and subsequently combined into a single plastome matrix in SEQUENCEMATRIX (Vaidya et al	SEQUENCEMATRIX		SM385970	not_curated
non_comm	non_comm/Genome_Biol_Evol/PMC6526698.nxml	6526698	30918947.0	10.1093/gbe/evz067	2019	Data Handling, Assembly, Scaffolding, and Analysis	15	Individual genes were then concatenated using Sequence Matrix (Vaidya et al	Sequence Matrix		SM61024	not_curated
non_comm	non_comm/Genome_Biol_Evol/PMC6166771.nxml	6166771	30165616.0	10.1093/gbe/evy189	2018	Plastome Phylogenomic Analyses	11	2017) and alignments of all loci concatenated using Sequence Matrix (Vaidya et al	Sequence Matrix		SM61024	not_curated
non_comm	non_comm/IMA_Fungus/PMC6317584.nxml	6317584	30622882.0	10.5598/imafungus.2018.09.02.03	2018	DNA Extraction and PCR amplification	6	After making sure no supported incongruences were present for the different loci, alignments of cox1, cox2, and nrLSU sequences were concatenated using SequenceMatrix (Vaidya ) and phylogenetic trees were computed as outlined above	SequenceMatrix		SM51323	software
non_comm	non_comm/Int_J_Biol_Sci/PMC4807417.nxml	4807417	27019632.0	10.7150/ijbs.12148	2016	Phylogenetic analysis	12	Individually aligned genes were then concatenated using SequenceMatrix 76 for phylogenetic analyses.	SequenceMatrix	76	SM51323	software
non_comm	non_comm/J_Insect_Sci/PMC7164779.nxml	7164779	32302386.0	10.1093/jisesa/ieaa021	2020	Phylogenetic Analysis	6	2017) with the default settings, and the resulting alignments were concatenated into two sets of sequences using SequenceMatrix 1.8 (Vaidya et al	SequenceMatrix	1.8	SM51323	software
non_comm	non_comm/J_Insect_Sci/PMC8322432.nxml	8322432	34327530.0	10.1093/jisesa/ieab050	2021	Phylogenetic Analysis	8	The 13 PCGs and two rRNAs were first aligned individually using MAFFT version 7.450 (Katoh and Standley 2013), then concatenated using SequenceMatrix 1.8 (Vaidya et al	SequenceMatrix	1.8	SM51323	software
non_comm	non_comm/Microb_Biotechnol/PMC7415360.nxml	7415360	32281262.0	10.1111/1751-7915.13568	2020	Phylogenetic analysis of F53	45	The multi‐locus dataset was created using Sequence Matrix v1.8 for concatenation (Vaidya et al., 2011) and contained 1,473 characters (658 for ITS and 815 for LSU).	Sequence Matrix		SM61024	not_curated
non_comm	non_comm/Mitochondrial_DNA_B_Resour/PMC7748874.nxml	7748874	33366501.0	10.1080/23802359.2019.1699460	2019		1	Alignment files were concatenated into a single matrix using Sequence Matrix software (Vaidya et al	Sequence Matrix		SM61024	not_curated
non_comm	non_comm/Mitochondrial_DNA_B_Resour/PMC7872550.nxml	7872550	33659671.0	10.1080/23802359.2020.1866448	2021	Materials and methods	7	The dataset of all PCGs was concatenated using SequenceMatrix version 1.7.84537 (Vaidya et al	SequenceMatrix		SM51323	software
non_comm	non_comm/Mol_Biol_Evol/PMC4245821.nxml	4245821	25228081.0	10.1093/molbev/msu262	2014	Phylogenetic Reconstruction	29	Multiple alignments for all genes were obtained using MUSCLE (Edgar 2004) and afterwards trimmed with GBlocks (Castresana 2000) and concatenated with SequenceMatrix (Vaidya et al	SequenceMatrix		SM51323	software
non_comm	non_comm/Mol_Ecol/PMC8361735.nxml	8361735	33966339.0	10.1111/mec.15951	2021	Phylogenetic analysis	8	Next, the four obtained alignments were concatenated in SequenceMatrix (Vaidya et al., 2011)	SequenceMatrix		SM51323	software
non_comm	non_comm/Mycobiology/PMC6319453.nxml	6319453	30637150.0	10.1080/12298093.2018.1547485	2018	Molecular phylogenetic analysis	4	After ensuring no strongly supported conflicting topologies among the trees inferred from individual loci, the alignments were concatenated using SequenceMatrix [16]	SequenceMatrix		SM51323	software
non_comm	non_comm/Mycobiology/PMC7476525.nxml	7476525	32952413.0	10.1080/12298093.2020.1788259	2020	Molecular phylogenetic analysis	7	SequenceMatrix 1.7.8 [31] was used for concatenating individual gene sequences and for checking unusually similar or divergent sequences	SequenceMatrix	1.7.8	SM51323	software
non_comm	non_comm/Persoonia/PMC6344813.nxml	6344813	30728600.0	10.3767/persoonia.2018.41.05	2018	Molecular study	6	2013) and SequenceMatrix (Vaidya et al	SequenceMatrix		SM51323	software
non_comm	non_comm/Persoonia/PMC6712544.nxml	6712544	31551619.0	10.3767/persoonia.2019.42.08	2019	DNA isolation, amplification, sequence alignment and phylogenetic analysis	12	The multi-locus datasets were combined using Sequence Matrix v	Sequence Matrix		SM61024	not_curated
non_comm	non_comm/Persoonia/PMC4713102.nxml	4713102	26823631.0	10.3767/003158515X687704	2015	Molecular analyses	16	Concatenation of alignments was done in SequenceMatrix (Vaidya et al	SequenceMatrix		SM51323	software
non_comm	non_comm/Sci_Adv/PMC5479652.nxml	5479652	28691084.0	10.1126/sciadv.1602929	2017	Data analyses	23	Next, we put together alignments of all genes in the same alignment, using the software Sequence Matrix 1.7.7 () to concatenate the supermatrix previously produced.	Sequence Matrix	1.7.7	SM61024	not_curated
non_comm	non_comm/Sci_Adv/PMC6810231.nxml	6810231	31681840.0	10.1126/sciadv.aaw6670	2019	Tree inference	32	Using SequenceMatrix v1.7.8 (), we concatenated the aligned sequences into a supermatrix	SequenceMatrix		SM51323	software
non_comm	non_comm/Stud_Mycol/PMC5220211.nxml	5220211	28082760.0	10.1016/j.simyco.2016.11.006	2016	Phylogenetic analysis using nine loci	10	Individual alignments were concatenated by using SequenceMatrix 1.8 (Vaidya ) and the dataset was partitioned by the nine loci	SequenceMatrix	1.8	SM51323	software
non_comm	non_comm/Stud_Mycol/PMC7452269.nxml	7452269	32904212.0	10.1016/j.simyco.2020.05.001	2020	Sequence alignment and molecular phylogenetic analysis	9	A multi-locus gene dataset was generated using SequenceMatrix v	SequenceMatrix		SM51323	software
