doi	pubdate	source	number	text	software	ID	curation_label
10.1186/s40851-021-00172-0	2021	Materials and methods	168	The sequences for the nuclear gene fragments were concatenated to generate a 2803-bp matrix in SequenceMatrix ([	SequenceMatrix	SM51323	software
10.1186/s40851-021-00172-0	2021	Phylogenetic and biogeographic analyses	0	The sequences for the nuclear gene fragments were concatenated to generate a 2803-bp matrix in SequenceMatrix ([	SequenceMatrix	SM51323	software
10.1371/currents.tol.53ba26640df0ccaee75bb165c8c26288	2013	Materials and Methods	8	Individual genes were concatenated using SequenceMatrix v1	SequenceMatrix	SM51323	software
10.1080/21501203.2018.1461142	2018	Material and methods	7	Further analyses were carried out after concatenation using Sequence Matrix (Vaidya et al	Sequence Matrix	SM61024	not_curated
10.1080/21501203.2018.1461142	2018	Data analyses	3	Further analyses were carried out after concatenation using Sequence Matrix (Vaidya et al	Sequence Matrix	SM61024	not_curated
10.1080/14772000.2017.1317672	2018	Materials and methods	5	A supermatrix with a total length of 2,644 bp was formed by concatenating the five markers using SequenceMatrix (Vaidya, Lohman, & Meier, 	SequenceMatrix	SM51323	software
10.1080/14772000.2017.1317672	2018	Ingroup phylogenetic analyses	1	A supermatrix with a total length of 2,644 bp was formed by concatenating the five markers using SequenceMatrix (Vaidya, Lohman, & Meier, 	SequenceMatrix	SM51323	software
10.1080/14772000.2020.1787550	2020	Materials and methods	7	We concatenated the aligned, individual gene data sets using SEQUENCEMATRIX v	SEQUENCEMATRIX	SM385970	not_curated
10.1080/14772000.2020.1787550	2020	Sequence alignment and characterization	1	We concatenated the aligned, individual gene data sets using SEQUENCEMATRIX v	SEQUENCEMATRIX	SM385970	not_curated
10.3897/phytokeys.71.9203	2016	Material and methods	5	 Matrices were concatenated using SequenceMatrix (	SequenceMatrix	SM51323	software
10.3897/phytokeys.71.9203	2016	Phylogenetic analyses	1	 Matrices were concatenated using SequenceMatrix (	SequenceMatrix	SM51323	software
10.3897/zookeys.872.36288	2019	Materials and methods	7	Alignments of the separate markers were all concatenated using SequenceMatrix 1	SequenceMatrix	SM51323	software
10.3897/zookeys.872.36288	2019	Molecular phylogenetic analyses	2	Alignments of the separate markers were all concatenated using SequenceMatrix 1	SequenceMatrix	SM51323	software
10.7717/peerj.10804	2021	Material and Methods	12	 For this, we combined both sequences in the unified supermatrix via SequenceMatrix v	SequenceMatrix	SM51323	software
10.7717/peerj.10804	2021	Species delimitation	5	 For this, we combined both sequences in the unified supermatrix via SequenceMatrix v	SequenceMatrix	SM51323	software
10.1371/journal.pone.0168464	2016	Materials and Methods	4	The coding regions of all segments for each five isolate were manually inspected, trimmed and then concatenated in the following sequence order of PB2, PB1, PA, HA, NP, NA, M and NS using the SequenceMatrix software [	SequenceMatrix	SM51323	software
10.1371/journal.pone.0168464	2016	Phylogenetics and sequence characterization	1	The coding regions of all segments for each five isolate were manually inspected, trimmed and then concatenated in the following sequence order of PB2, PB1, PA, HA, NP, NA, M and NS using the SequenceMatrix software [	SequenceMatrix	SM51323	software
10.1371/journal.pone.0200956	2018	Materials and methods	6	Using SequenceMatrix [	SequenceMatrix	SM51323	software
