openalex_id,doi,title,publication_year,publication_date,type,language,is_oa,oa_status,venue_name,venue_type,venue_issn_l,publisher,cited_by_count,referenced_works_count,n_authors,author_names,author_orcids,corresponding_authors,institution_rors,institution_names,countries,topic_displays,topic_fields,domains,software_comentions
https://openalex.org/W2979811825,https://doi.org/10.1111/1755-0998.13096,PhyloSuite: An integrated and scalable desktop platform for streamlined molecular sequence data management and evolutionary phylogenetics studies,2019,2019-10-09,article,en,true,bronze,Molecular Ecology Resources,journal,1755-098X,Wiley,3982,28,7,Dong Zhang; Fangluan Gao; Ivan Jakovlić; Hong Zou; Jin Zhang; Wen X. Li; Gui T. Wang,https://orcid.org/0000-0002-0902-6704; https://orcid.org/0000-0001-9031-9944; https://orcid.org/0000-0002-2461-3712; https://orcid.org/0000-0002-0930-4444; https://orcid.org/0000-0002-8397-5078; https://orcid.org/0000-0001-7016-4535,Wen X. Li; Gui T. Wang,https://ror.org/034t30j35; https://ror.org/00b4mx203; https://ror.org/05qbk4x57; https://ror.org/02cmjsn57; https://ror.org/04kx2sy84; https://ror.org/00qy3dp86,Chinese Academy of Sciences; Institute of Hydrobiology; University of Chinese Academy of Sciences; State Key Laboratory of Freshwater Ecology and Biotechnology; Fujian Agriculture and Forestry University; Wuhan Institute of Bioengineering,CN,Genomics and Phylogenetic Studies; Genetic diversity and population structure; Species Distribution and Climate Change,"Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology; Environmental Science",Physical Sciences; Life Sciences,Gblocks; MrBayes; PartitionFinder
https://openalex.org/W1998591654,https://doi.org/10.1371/currents.tol.53ba26640df0ccaee75bb165c8c26288,The Tree of Life and a New Classification of Bony Fishes,2013,2013-01-01,article,en,true,green,PLoS Currents,journal,2157-3999,Public Library of Science,846,114,24,Ricardo Betancur‐R; Richard E. Broughton; E. O. Wiley; Kent E. Carpenter; J. Andrés López; Chenhong Li; Nancy I. Holcroft; Dahiana Arcila; Millicent D. Alexandrov Sanciangco; James C. Cureton; Feifei Zhang; Thaddaeus John Buser; Matthew A. Campbell; Jesús A. Ballesteros; Adela Roa‐Varón; Stuart C. Willis; W. Calvin Borden; Thaine Rowley; Paulette C. Reneau; Daniel J. Hough; Guoqing Lu; Terry Grande; Gloria Arratia; Guillermo Ortı́,https://orcid.org/0000-0002-9512-5011; https://orcid.org/0000-0003-3618-1811; https://orcid.org/0000-0002-2845-9871; https://orcid.org/0000-0003-3075-1756; https://orcid.org/0000-0002-5126-1345; https://orcid.org/0000-0002-9472-3167; https://orcid.org/0009-0007-3302-5668; https://orcid.org/0000-0002-2518-1835; https://orcid.org/0000-0002-5826-0329; https://orcid.org/0000-0003-2315-2368; https://orcid.org/0000-0002-9474-1867; https://orcid.org/0000-0002-2274-1112; https://orcid.org/0000-0001-7616-0922; https://orcid.org/0000-0002-8225-3962; https://orcid.org/0000-0002-2728-9604; https://orcid.org/0000-0002-7363-1319; https://orcid.org/0000-0002-6886-2323,Ricardo Betancur‐R,https://ror.org/00y4zzh67; https://ror.org/02aqsxs83; https://ror.org/001tmjg57; https://ror.org/01szdrn56; https://ror.org/003kqe171; https://ror.org/04zjtrb98; https://ror.org/01j7nq853; https://ror.org/04n40zv07; https://ror.org/059r8r572; https://ror.org/043mer456; https://ror.org/04b6x2g63; https://ror.org/04yrkc140; https://ror.org/00c4wc133; https://ror.org/00fq2kn23,George Washington University; University of Oklahoma; University of Kansas; International Union for Conservation of Nature; Dominion University College; Old Dominion University; University of Alaska Fairbanks; Shanghai Ocean University; Johnson County Community College; University of Nebraska–Lincoln; Loyola University Chicago; University of Nebraska at Omaha; Florida Agricultural and Mechanical University; Associated Research (United States),US; BD; GH; CN,"Fish biology, ecology, and behavior; Ichthyology and Marine Biology; Evolution and Paleontology Studies",Environmental Science; Environmental Science; Earth and Planetary Sciences,Physical Sciences,
https://openalex.org/W2130198181,https://doi.org/10.1186/s12983-014-0081-x,FASconCAT-G: extensive functions for multiple sequence alignment preparations concerning phylogenetic studies,2014,2014-11-17,article,en,true,gold,Frontiers in Zoology,journal,1742-9994,BioMed Central,670,62,2,Patrick Kück; Gary C. Longo,https://orcid.org/0000-0002-5729-1932; https://orcid.org/0000-0002-4282-9111,Patrick Kück,https://ror.org/00wz4b049; https://ror.org/03s65by71,"Zoological Research Museum Alexander Koenig; University of California, Santa Cruz",DE; US,Genomics and Phylogenetic Studies; Genome Rearrangement Algorithms; Evolution and Paleontology Studies,"Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology; Earth and Planetary Sciences",Physical Sciences; Life Sciences,
https://openalex.org/W2175367716,https://doi.org/10.1016/j.ympev.2015.10.009,"Combining phylogenomic and supermatrix approaches, and a time-calibrated phylogeny for squamate reptiles (lizards and snakes) based on 52 genes and 4162 species",2015,2015-10-25,article,en,false,closed,Molecular Phylogenetics and Evolution,journal,1055-7903,Elsevier BV,644,57,2,Yuchi Zheng; John J. Wiens,https://orcid.org/0000-0002-1155-5293; https://orcid.org/0000-0003-4243-1127,John J. Wiens,https://ror.org/04w5etv87; https://ror.org/034t30j35; https://ror.org/03m2x1q45,Chengdu Institute of Biology; Chinese Academy of Sciences; University of Arizona,CN; US,Amphibian and Reptile Biology; Genetic diversity and population structure; Genomics and Phylogenetic Studies,"Environmental Science; Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology",Physical Sciences; Life Sciences,
https://openalex.org/W1989350663,https://doi.org/10.1371/journal.pone.0049521,Macroevolutionary Dynamics and Historical Biogeography of Primate Diversification Inferred from a Species Supermatrix,2012,2012-11-16,article,en,true,gold,PLoS ONE,journal,1932-6203,Public Library of Science,527,146,12,Mark S. Springer; Robert W. Meredith; John Gatesy; Christopher A. Emerling; Jong Seok Park; Daniel L. Rabosky; Tanja Stadler; Cynthia Steiner; Oliver A. Ryder; Jan E. Janečka; Colleen A. Fisher; William J. Murphy,https://orcid.org/0000-0001-7335-6946; https://orcid.org/0000-0002-3132-7407; https://orcid.org/0000-0003-3061-7741; https://orcid.org/0000-0002-7722-7305; https://orcid.org/0000-0003-4537-6223; https://orcid.org/0000-0002-7499-8251; https://orcid.org/0000-0001-6431-535X; https://orcid.org/0000-0002-2131-8072; https://orcid.org/0000-0003-2427-763X; https://orcid.org/0000-0002-3888-8610; https://orcid.org/0000-0003-3699-0723,Mark S. Springer; William J. Murphy,https://ror.org/03nawhv43; https://ror.org/01nxc2t48; https://ror.org/00cvxb145; https://ror.org/00jmfr291; https://ror.org/01an7q238; https://ror.org/0291ys696; https://ror.org/01rvn4p91; https://ror.org/04fqe9p30; https://ror.org/04q1yyt92; https://ror.org/01f5ytq51,"University of California, Riverside; Montclair State University; University of Washington; University of Michigan–Ann Arbor; University of California, Berkeley; Michigan United; Board of the Swiss Federal Institutes of Technology; San Diego Zoo Institute for Conservation Research; Zoological Society of San Diego; Texas A&M University",US; CH,Evolution and Paleontology Studies; Primate Behavior and Ecology; Amphibian and Reptile Biology,Earth and Planetary Sciences; Psychology; Environmental Science,Physical Sciences; Social Sciences,
https://openalex.org/W3132175348,https://doi.org/10.1038/s41477-021-00858-5,Enhancing grain-yield-related traits by CRISPR–Cas9 promoter editing of maize CLE genes,2021,2021-02-22,article,en,false,closed,Nature Plants,journal,2055-026X,Nature Portfolio,419,55,8,Lei Liu; Joseph P. Gallagher; Edgar Demesa-Arévalo; Richelle Chen; Tara Skopelitis; Qingyu Wu; Madelaine Bartlett; David Jackson,https://orcid.org/0000-0002-3710-7042; https://orcid.org/0000-0003-0378-7112; https://orcid.org/0000-0002-2793-5928; https://orcid.org/0000-0002-0103-9092; https://orcid.org/0000-0003-3064-2445; https://orcid.org/0000-0002-0369-8606; https://orcid.org/0000-0002-4269-7649,Lei Liu,https://ror.org/02qz8b764; https://ror.org/028vqfs63; https://ror.org/0072zz521; https://ror.org/01nrzdp21; https://ror.org/0313jb750,Cold Spring Harbor Laboratory; Amherst College; University of Massachusetts Amherst; Institute of Agricultural Resources and Regional Planning; Chinese Academy of Agricultural Sciences,US; CN,CRISPR and Genetic Engineering; Plant Virus Research Studies; Chromosomal and Genetic Variations,"Biochemistry, Genetics and Molecular Biology; Agricultural and Biological Sciences; Agricultural and Biological Sciences",Life Sciences,
https://openalex.org/W2747228247,https://doi.org/10.1073/pnas.1620089114,Early photosynthetic eukaryotes inhabited low-salinity habitats,2017,2017-08-14,article,en,true,bronze,Proceedings of the National Academy of Sciences,journal,0027-8424,National Academy of Sciences,335,116,4,Patricia Sánchez‐Baracaldo; John A. Raven; Davide Pisani; Andrew H. Knoll,https://orcid.org/0000-0002-5216-2664; https://orcid.org/0000-0002-2789-3297; https://orcid.org/0000-0003-0949-6682; https://orcid.org/0000-0003-1308-8585,Patricia Sánchez‐Baracaldo,https://ror.org/0524sp257; https://ror.org/03f0f6041; https://ror.org/03rzp5127; https://ror.org/03h2bxq36; https://ror.org/03vek6s52,University of Bristol; University of Technology Sydney; James Hutton Institute; University of Dundee; Harvard University,GB; AU; US,Protist diversity and phylogeny; Paleontology and Stratigraphy of Fossils; Geology and Paleoclimatology Research,"Biochemistry, Genetics and Molecular Biology; Earth and Planetary Sciences; Earth and Planetary Sciences",Physical Sciences; Life Sciences,
https://openalex.org/W2063751049,https://doi.org/10.1016/j.ympev.2014.02.023,Primate phylogenetic relationships and divergence dates inferred from complete mitochondrial genomes,2014,2014-02-28,article,en,true,green,Molecular Phylogenetics and Evolution,journal,1055-7903,Elsevier BV,333,254,6,Luca Pozzi; Jason A. Hodgson; Andrew S. Burrell; Kirstin N. Sterner; Ryan L. Raaum; Todd R. Disotell,https://orcid.org/0000-0001-7916-0805; https://orcid.org/0000-0002-3849-2245; https://orcid.org/0000-0001-8429-4533; https://orcid.org/0000-0003-4723-5475; https://orcid.org/0000-0001-8521-2763,Luca Pozzi,https://ror.org/02f99v835; https://ror.org/03p65m515; https://ror.org/0190ak572; https://ror.org/041kmwe10; https://ror.org/0293rh119; https://ror.org/00awd9g61; https://ror.org/03m908832; https://ror.org/00453a208,"German Primate Center; New York Consortium in Evolutionary Primatology; New York University; Imperial College London; University of Oregon; The Graduate Center, CUNY; Lehman College; City University of New York",DE; US; GB,Primate Behavior and Ecology; Genomics and Phylogenetic Studies; Evolution and Paleontology Studies,"Psychology; Biochemistry, Genetics and Molecular Biology; Earth and Planetary Sciences",Physical Sciences; Life Sciences; Social Sciences,
https://openalex.org/W2103651180,https://doi.org/10.1111/nph.13617,Plastid genomes reveal support for deep phylogenetic relationships and extensive rate variation among palms and other commelinid monocots,2015,2015-09-09,article,en,true,bronze,New Phytologist,journal,0028-646X,Wiley,260,86,16,Craig F. Barrett; William J. Baker; Jason R. Comer; John G. Conran; Sean Lahmeyer; James H. Leebens‐Mack; Jeff Li; Gwynne S. Lim; Dustin Mayfield‐Jones; Leticia Perez; Jesus C. Medina; J. Chris Pires; Cristian Derois Santos; Dennis Wm. Stevenson; Wendy B. Zomlefer; Jerrold I. Davis,https://orcid.org/0000-0001-8870-3672; https://orcid.org/0000-0001-6727-1831; https://orcid.org/0000-0002-1270-6663; https://orcid.org/0000-0003-2268-2703; https://orcid.org/0000-0002-2949-7044; https://orcid.org/0000-0001-9682-2639; https://orcid.org/0000-0002-2986-7076,Craig F. Barrett,https://ror.org/011vxgd24; https://ror.org/0294hxs80; https://ror.org/00ynnr806; https://ror.org/00te3t702; https://ror.org/00892tw58; https://ror.org/05dv1j335; https://ror.org/03nawhv43; https://ror.org/01rfstj90; https://ror.org/05bnh6r87; https://ror.org/000cyem11; https://ror.org/02ymw8z06; https://ror.org/01xdqrp08; https://ror.org/03tv88982,"West Virginia University; California State University Los Angeles; Royal Botanic Gardens, Kew; University of Georgia; The University of Adelaide; The Huntington Library, Art Museum, and Botanical Gardens; University of California, Riverside; Institut thématique Génétique, génomique et bioinformatique; Cornell University; Donald Danforth Plant Science Center; University of Missouri; Pfizer (United States); New York Botanical Garden",US; GB; AU; FR,Plant Diversity and Evolution; Plant and Fungal Species Descriptions; Genetic diversity and population structure,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology",Life Sciences,
https://openalex.org/W2496196939,https://doi.org/10.1016/j.ympev.2016.07.029,"Diversification in vipers: Phylogenetic relationships, time of divergence and shifts in speciation rates",2016,2016-07-30,article,en,true,green,Molecular Phylogenetics and Evolution,journal,1055-7903,Elsevier BV,252,120,7,Laura R. V. Alencar; Tiago B. Quental; Felipe G. Grazziotin; Michael L. Alfaro; Marcio Roberto Martins; Mericien Venzon; Hussam Zaher,https://orcid.org/0000-0002-6805-7682; https://orcid.org/0000-0002-4832-9468; https://orcid.org/0000-0001-9896-9722; https://orcid.org/0000-0001-8108-6309; https://orcid.org/0000-0002-9192-0923; https://orcid.org/0000-0002-6994-489X,Laura R. V. Alencar,https://ror.org/036rp1748; https://ror.org/046rm7j60,"Universidade de São Paulo; University of California, Los Angeles",BR; US,Amphibian and Reptile Biology; Venomous Animal Envenomation and Studies; Vector-borne infectious diseases,"Environmental Science; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology",Physical Sciences; Life Sciences,
